"MacroTrends Data Download"
"Silver Prices - 100 Year Historical Chart"
"Note: Real datasets are adjusted for inflation using the headline Consumer Price Index (CPI) with the current month as the base."

"Disclaimer and Terms of Use: Historical data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


date,real,nominal
1946-01-01,12.85,0.800
1946-02-01,12.92,0.800
1946-03-01,12.78,0.800
1946-04-01,12.71,0.800
1946-05-01,12.64,0.800
1946-06-01,12.50,0.800
1946-07-01,11.81,0.800
1946-08-01,11.58,0.800
1946-09-01,11.46,0.800
1946-10-01,11.24,0.800
1946-11-01,10.98,0.800
1946-12-01,10.88,0.800
1947-01-01,9.79,0.720
1947-02-01,9.79,0.720
1947-03-01,9.61,0.720
1947-04-01,9.61,0.720
1947-05-01,9.61,0.720
1947-06-01,9.57,0.720
1947-07-01,9.48,0.720
1947-08-01,9.35,0.720
1947-09-01,9.15,0.720
1947-10-01,9.15,0.720
1947-11-01,9.11,0.720
1947-12-01,8.99,0.720
1948-01-01,9.13,0.740
1948-02-01,9.20,0.740
1948-03-01,9.24,0.740
1948-04-01,9.09,0.740
1948-05-01,9.05,0.740
1948-06-01,8.97,0.740
1948-07-01,8.86,0.740
1948-08-01,8.83,0.740
1948-09-01,8.83,0.740
1948-10-01,8.86,0.740
1948-11-01,8.94,0.740
1948-12-01,8.97,0.740
1949-01-01,8.77,0.720
1949-02-01,8.84,0.720
1949-03-01,8.84,0.720
1949-04-01,8.81,0.720
1949-05-01,8.84,0.720
1949-06-01,8.81,0.720
1949-07-01,8.88,0.720
1949-08-01,8.84,0.720
1949-09-01,8.81,0.720
1949-10-01,8.88,0.720
1949-11-01,8.84,0.720
1949-12-01,8.92,0.720
1950-01-01,9.20,0.740
1950-02-01,9.20,0.740
1950-03-01,9.16,0.740
1950-04-01,9.16,0.740
1950-05-01,9.13,0.740
1950-06-01,9.09,0.740
1950-07-01,8.97,0.740
1950-08-01,8.90,0.740
